SurveyTypeID,SurveyTypeDesc,,SurveyID,NumCyclesQ3,QID,TrendQID,NatlDbQID,QAlphaID,Qdesc,SurvInstrumentCategory,RptCategory
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20657,20657,19431,H3DB,"In the last 12 months, how often did this provider seem informed and up-to-date about the care you got from specialists?",Attention to Care from Other Providers (PCMH),PCMH - Coordination of Care
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20661,20661,20661,Y4AM1,"In the last 12 months, did you and anyone in this provider’s office talk at each visit about all the prescription medicines you were taking?",Attention to Care from Other Providers (PCMH),PCMH - Coordination of Care
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20657,20657,19431,H3DB,"In the last 12 months, how often did this provider seem informed and up-to-date about the care you got from specialists?",Attention to Care from Other Providers (PCMH),Attention to Care from Other Providers (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20661,20661,20661,Y4AM1,"In the last 12 months, did you and anyone in this provider’s office talk at each visit about all the prescription medicines you were taking?",Attention to Care from Other Providers (PCMH),Attention to Care from Other Providers (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19300,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow-up to give you those results?",Follow-up on Test Results,PCMH - Coordination of Care
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19300,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow-up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19284,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19286,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19289,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19290,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19540,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19302,14093,14093,H9H,"In the last 12 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19303,14094,14094,H9C,"In the last 12 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19365,14085,5870,H3J,"In the last 12 months, how often did this provider explain things in a way that was easy to understand?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19366,14086,5869,H3O,"In the last 12 months, how often did this provider listen carefully to you?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19367,14087,14087,H3FF,"In the last 12 months, how often did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19368,14088,14088,H3D,"In the last 12 months, how often did this provider seem to know the important information about your medical history?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19369,14089,14089,H3CS,"In the last 12 months, how often did this provider show respect for what you had to say?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19370,14090,14090,H3AA,"In the last 12 months, how often did this provider spend enough time with you?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,19301,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20653,20653,19426,H4AM1,"When you talked about starting or stopping a prescription medicine, how much did this provider talk about the reasons you might want to take a medicine?",Providers Discuss Medication Decisions (PCMH),PCMH - Shared Decision Making
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20654,20654,19427,H4AM2,"When you talked about starting or stopping a prescription medicine, how much did this provider talk about the reasons you might not want to take a medicine?",Providers Discuss Medication Decisions (PCMH),PCMH - Shared Decision Making
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20655,20655,20655,Y4AM,"When you talked about starting or stopping a prescription medicine, did this provider ask you what you thought was best for you?",Providers Discuss Medication Decisions (PCMH),PCMH - Shared Decision Making
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20653,20653,19426,H4AM1,"When you talked about starting or stopping a prescription medicine, how much did this provider talk about the reasons you might want to take a medicine?",Providers Discuss Medication Decisions (PCMH),Providers Discuss Medication Decisions (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20654,20654,19427,H4AM2,"When you talked about starting or stopping a prescription medicine, how much did this provider talk about the reasons you might not want to take a medicine?",Providers Discuss Medication Decisions (PCMH),Providers Discuss Medication Decisions (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20655,20655,20655,Y4AM,"When you talked about starting or stopping a prescription medicine, did this provider ask you what you thought was best for you?",Providers Discuss Medication Decisions (PCMH),Providers Discuss Medication Decisions (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20662,20662,20662,Y19D,"In the last 12 months, did anyone in this provider’s office ask you if there was a period of time when you felt sad, empty, or depressed?",Providers Pay Attention to Your Mental or Emotional Health (PCMH),PCMH - Comprehensiveness/Whole Person Care — Adult Behavioral
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20663,20663,20663,Y19W,"In the last 12 months, did you and anyone in this provider’s office talk about things in your life that worry you or cause you stress?",Providers Pay Attention to Your Mental or Emotional Health (PCMH),PCMH - Comprehensiveness/Whole Person Care — Adult Behavioral
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20664,20664,20664,Y19P,"In the last 12 months, did you and anyone in this provider’s office talk about a personal problem, family problem, alcohol use, drug use, or a mental or emotional illness?",Providers Pay Attention to Your Mental or Emotional Health (PCMH),PCMH - Comprehensiveness/Whole Person Care — Adult Behavioral
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20662,20662,20662,Y19D,"In the last 12 months, did anyone in this provider’s office ask you if there was a period of time when you felt sad, empty, or depressed?",Providers Pay Attention to Your Mental or Emotional Health (PCMH),Providers Pay Attention to Your Mental or Emotional Health (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20663,20663,20663,Y19W,"In the last 12 months, did you and anyone in this provider’s office talk about things in your life that worry you or cause you stress?",Providers Pay Attention to Your Mental or Emotional Health (PCMH),Providers Pay Attention to Your Mental or Emotional Health (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20664,20664,20664,Y19P,"In the last 12 months, did you and anyone in this provider’s office talk about a personal problem, family problem, alcohol use, drug use, or a mental or emotional illness?",Providers Pay Attention to Your Mental or Emotional Health (PCMH),Providers Pay Attention to Your Mental or Emotional Health (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20658,20658,19432,Y3FG,"In the last 12 months, did anyone in this provider’s office talk with you about specific goals for your health?",Providers Support You in Taking Care of Your Own Health (PCMH),PCMH - Self Management Support
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20659,20659,19433,Y3FH,"In the last 12 months, did anyone in this provider’s office ask you if there are things that make it hard for you to take care of your health?",Providers Support You in Taking Care of Your Own Health (PCMH),PCMH - Self Management Support
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20658,20658,19432,Y3FG,"In the last 12 months, did anyone in this provider’s office talk with you about specific goals for your health?",Providers Support You in Taking Care of Your Own Health (PCMH),Providers Support You in Taking Care of Your Own Health (PCMH)
139,Patient Insights - CG-CAHPS (PCMH Phone),PCMH-Adult,2165,16,20659,20659,19433,Y3FH,"In the last 12 months, did anyone in this provider’s office ask you if there are things that make it hard for you to take care of your health?",Providers Support You in Taking Care of Your Own Health (PCMH),Providers Support You in Taking Care of Your Own Health (PCMH)
17,Patient Insights - OP,Outpatient,1475,21,16400,11478,11478,H2,"Using any number from 0 to 10, what number would you use to rate the care received from all the patient care staff who treated you?",CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,1475,21,16399,11475,11475,H4WW,How often was the patient care staff able to calm your fears?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,1475,21,16105,16105,5864,H2O,How often did the patient care staff listen carefully to you?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,1475,21,16107,11477,11477,H5C,How often did the patient care staff do a good job in keeping you informed about delays in care or treatment?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,1475,21,16104,16104,5863,H2C,How often did the patient care staff treat you with courtesy and respect?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,1475,21,16106,16106,5865,H2J,How often did the patient care staff explain things in a way you could understand?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,1475,21,16401,14139,14139,H6AA,How satisfied were you with the cleanliness of the facility?,FACILITY,FACILITY
17,Patient Insights - OP,Outpatient,1475,21,16109,513,15716,H6F,"During this visit, how satisfied were you with how easy it was to find your way around the facility?",FACILITY,FACILITY
17,Patient Insights - OP,Outpatient,1475,21,11482,11482,5886,H17,Would you recommend this outpatient facility to your friends and family?,Overall Rating,Overall Rating
17,Patient Insights - OP,Outpatient,1475,21,11481,11481,5885,H30,"Using any number from 0 to 10, where 0 is the worst outpatient facility possible and 10 is the best outpatient facility possible, what number would you use to rate this outpatient facility?",Overall Rating,Overall Rating
17,Patient Insights - OP,Outpatient,1475,21,16110,16110,16627,H2Z,How often did the patient care staff do a good job of involving you in the treatment plan and goal setting?,REHAB,REHAB
17,Patient Insights - OP,Outpatient,1475,21,16402,13249,13249,H2ZB,How satisfied were you with your progress towards your goals?,REHAB,REHAB
17,Patient Insights - OP,Outpatient,1475,21,16407,11498,11498,H3,"Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated you?",SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,1475,21,16404,11487,5879,H4AM,"Before giving you any new medicine, how often did the patient care staff explain what the medicine was for?",SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,1475,21,16406,260,11492,H8A,How satisfied were you with how clearly and completely you were told what to do and what to expect after returning home?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,1475,21,16403,11474,5877,H4AF,How often did the patient care staff do everything they could to help you with your pain?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,1475,21,16405,11476,11476,H4AA,How often did the staff do a good job of informing your designated family member or friend about your care and treatment?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,1475,21,16111,543,262,H7X,How satisfied were you with how much you were helped by this visit?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,1475,21,16397,11618,11618,H1D,How satisfied were you with the ability to schedule the visit on a convenient day and time?,SCHEDULING/REGISTRATION,SCHEDULING/REGISTRATION
17,Patient Insights - OP,Outpatient,1475,21,16398,14138,14138,H1B,How satisfied were you with the registration process?,SCHEDULING/REGISTRATION,SCHEDULING/REGISTRATION
17,Patient Insights - OP,Outpatient,1475,21,16108,16108,16108,H5D,How satisfied were you with the total amount of time you spent waiting at the facility?,WAIT TIME,WAIT TIME
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19524,19524,19524,Y4FC,Did someone from this provider's office follow up to give you those results?,Follow-up on Test Results,Follow-Up On Test Results
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19284,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19286,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19289,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19290,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19291,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19526,19526,19526,H9HA,"During your most recent visit, were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19527,19527,19527,H9CA,"During your most recent visit, did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19516,19516,19516,H3JA,"During your most recent visit, did this provider explain things in a way that was easy to understand?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19517,19517,19517,H3OA,"During your most recent visit, did this provider listen carefully to you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19519,19519,19519,H3FFA,"During your most recent visit, did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19520,19520,19520,H3DA,"During your most recent visit, did this provider seem to know the important information about your medical history?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19521,19521,19521,H3CSA,"During your most recent visit, did this provider show respect for what you had to say?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19522,19522,19522,H3AAA,"During your most recent visit, did this provider spend enough time with you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19301,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
141,Patient Insights - CG-CAHPS(Visit Phone),CG-CAHPS Visit,2043,9,19525,19525,19525,H17B,Would you recommend this provider's office to your family and friends?,Willingness to Recommend,Willingness to Recommend
17,Patient Insights - OP,Outpatient,2219,0,16399,11475,11475,H4WW,How often was the patient care staff able to calm your fears?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,2219,0,16400,11478,11478,H2,"Using any number from 0 to 10, what number would you use to rate the care received from all the patient care staff who treated you?",CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,2219,0,16104,16104,5863,H2C,How often did the patient care staff treat you with courtesy and respect?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,2219,0,16105,16105,5864,H2O,How often did the patient care staff listen carefully to you?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,2219,0,16106,16106,5865,H2J,How often did the patient care staff explain things in a way you could understand?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,2219,0,16107,11477,11477,H5C,How often did the patient care staff do a good job in keeping you informed about delays in care or treatment?,CARE FROM STAFF,CARE FROM STAFF
17,Patient Insights - OP,Outpatient,2219,0,16109,513,15716,H6F,"During this visit, how satisfied were you with how easy it was to find your way around the facility?",FACILITY,FACILITY
17,Patient Insights - OP,Outpatient,2219,0,16401,14139,14139,H6AA,How satisfied were you with the cleanliness of the facility?,FACILITY,FACILITY
17,Patient Insights - OP,Outpatient,2219,0,11481,11481,5885,H30,"Using any number from 0 to 10, where 0 is the worst outpatient facility possible and 10 is the best outpatient facility possible, what number would you use to rate this outpatient facility?",Overall Rating,Overall Rating
17,Patient Insights - OP,Outpatient,2219,0,11482,11482,5886,H17,Would you recommend this outpatient facility to your friends and family?,Overall Rating,Overall Rating
17,Patient Insights - OP,Outpatient,2219,0,16402,13249,13249,H2ZB,How satisfied were you with your progress towards your goals?,REHAB,REHAB
17,Patient Insights - OP,Outpatient,2219,0,16110,16110,16627,H2Z,How often did the patient care staff do a good job of involving you in the treatment plan and goal setting?,REHAB,REHAB
17,Patient Insights - OP,Outpatient,2219,0,16111,543,262,H7X,How satisfied were you with how much you were helped by this visit?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,2219,0,16403,11474,5877,H4AF,How often did the patient care staff do everything they could to help you with your pain?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,2219,0,16404,11487,5879,H4AM,"Before giving you any new medicine, how often did the patient care staff explain what the medicine was for?",SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,2219,0,16405,11476,11476,H4AA,How often did the staff do a good job of informing your designated family member or friend about your care and treatment?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,2219,0,16406,260,11492,H8A,How satisfied were you with how clearly and completely you were told what to do and what to expect after returning home?,SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,2219,0,16407,11498,11498,H3,"Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated you?",SAME DAY SURGERY,SAME DAY SURGERY
17,Patient Insights - OP,Outpatient,2219,0,16397,11618,11618,H1D,How satisfied were you with the ability to schedule the visit on a convenient day and time?,SCHEDULING/REGISTRATION,SCHEDULING/REGISTRATION
17,Patient Insights - OP,Outpatient,2219,0,16398,14138,14138,H1B,How satisfied were you with the registration process?,SCHEDULING/REGISTRATION,SCHEDULING/REGISTRATION
17,Patient Insights - OP,Outpatient,2219,0,16108,16108,16108,H5D,How satisfied were you with the total amount of time you spent waiting at the facility?,WAIT TIME,WAIT TIME
25,Patient Insights - ASC,ASC,1883,0,17640,17640,17640,Q10DF,How well we informed you about the charges and billings prior to the procedure.,Billing,Billing
25,Patient Insights - ASC,ASC,1883,0,17304,17304,17304,Q6AF,Cleanliness and comfort of the facility.,Cleanliness,Cleanliness
25,Patient Insights - ASC,ASC,1883,0,17313,17313,17313,Q8FF,"The discharge process, including how well the staff understood your needs, explained what to expect at home and taking enough time with you before discharge.",Discharge,Discharge
25,Patient Insights - ASC,ASC,1883,0,17303,17303,17303,Q6F,How easy was it to find your way to the facility?,Find Facility,Find Facility
25,Patient Insights - ASC,ASC,1883,0,17377,17377,17377,Q1MF,Instructions prior to the procedure.,Instructions,Instructions
25,Patient Insights - ASC,ASC,1883,0,17309,17309,17309,Q53F,The nurses' assessment of your health prior to the procedure.,Nurse's Assessment,Nurse's Assessment
25,Patient Insights - ASC,ASC,1883,0,17307,17307,17307,Q4BF,Protection of your privacy.,Privacy,Privacy
25,Patient Insights - ASC,ASC,1883,0,17310,17310,17310,Q2AF,The overall rating of the staff involved in your care.,Staff Overall,Staff Overall
25,Patient Insights - ASC,ASC,1883,0,17308,17308,17308,Q1QF,How well our staff treated you upon arrival.,Treatment By Staff,Treatment By Staff
25,Patient Insights - ASC,ASC,1883,0,17314,17314,17314,Q3TF,Your confidence and trust in your physician.,Trust Physician,Trust Physician
25,Patient Insights - ASC,ASC,1883,0,17306,17306,17306,Q5DF,Wait times while at the facility.,Wait Time,WAIT TIME
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20657,20657,19431,H3DB,"In the last 12 months, how often did this provider seem informed and up-to-date about the care you got from specialists?",Attention to Care from Other Providers (PCMH),PCMH - Coordination of Care
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20661,20661,20661,Y4AM1,"In the last 12 months, did you and anyone in this provider’s office talk at each visit about all the prescription medicines you were taking?",Attention to Care from Other Providers (PCMH),PCMH - Coordination of Care
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20661,20661,20661,Y4AM1,"In the last 12 months, did you and anyone in this provider’s office talk at each visit about all the prescription medicines you were taking?",Attention to Care from Other Providers (PCMH),Attention to Care from Other Providers (PCMH)
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20657,20657,19431,H3DB,"In the last 12 months, how often did this provider seem informed and up-to-date about the care you got from specialists?",Attention to Care from Other Providers (PCMH),Attention to Care from Other Providers (PCMH)
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20657,20657,19431,H3DB,"In the last 12 months, how often did this provider seem informed and up-to-date about the care you got from specialists?",Attention to Care from Other Providers (PCMH),PCMH - Coordination of Care
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20661,20661,20661,Y4AM1,"In the last 12 months, did you and anyone in this provider’s office talk at each visit about all the prescription medicines you were taking?",Attention to Care from Other Providers (PCMH),PCMH - Coordination of Care
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20657,20657,19431,H3DB,"In the last 12 months, how often did this provider seem informed and up-to-date about the care you got from specialists?",Attention to Care from Other Providers (PCMH),Attention to Care from Other Providers (PCMH)
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20661,20661,20661,Y4AM1,"In the last 12 months, did you and anyone in this provider’s office talk at each visit about all the prescription medicines you were taking?",Attention to Care from Other Providers (PCMH),Attention to Care from Other Providers (PCMH)
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20801,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow up to give you those results?",Follow-up on Test Results,PCMH - Coordination of Care
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20801,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20801,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow up to give you those results?",Follow-up on Test Results,PCMH - Coordination of Care
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20801,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20793,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20792,20792,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20791,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20790,14080,14080,H1DA,"In the last 12 months when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2172,25,20794,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20790,14080,14080,H1DA,"In the last 12 months when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20791,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
158,Patient Insights - CG-CAHPS 12M (eSurvey+Phone),CG-CAHPS 12 Month,2172,16,20792,20792,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
