,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES
382,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,
383,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,
384,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,
385,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,
386,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,
387,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,
388,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,
389,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dh,
390,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dj,
391,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dl,
392,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,
393,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,
394,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,
395,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dh,
396,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dj,
397,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dl,
398,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,
399,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,
400,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,
401,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dh,
402,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dj,
403,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dl,
404,2186_178,PCMH-Child,PCMH - Self Management Support,,,y3fh,
405,2186_178,PCMH-Child,PCMH - Self Management Support,,,y3fg,
406,2186_178,PCMH-Child,PCMH - Self Management Support,,,y3fh,
407,2186_178,PCMH-Child,PCMH - Self Management Support,,,y3fg,
408,2186_178,PCMH-Child,PCMH - Self Management Support,,,y3fh,
409,2186_178,PCMH-Child,PCMH - Self Management Support,,,y3fg,
410,2165_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
411,2165_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
412,2165_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
413,2165_139,PCMH-Adult,Access To Care (PCMH),,d1de,,
414,2165_139,PCMH-Adult,Access To Care (PCMH),,d1de,,
415,2165_139,PCMH-Adult,Access To Care (PCMH),,d1de,,
416,2273_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
417,2273_139,PCMH-Adult,Access To Care (PCMH),,d1de,,
418,2172_139,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
419,2172_139,PCMH-Adult,,Access To Care (PCMH),,,
420,2172_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
421,2172_139,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
422,2172_139,PCMH-Adult,,Access To Care (PCMH),,,
423,2172_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
424,2172_139,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
425,2172_139,PCMH-Adult,,Access To Care (PCMH),,,
426,2172_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
427,2172_139,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
428,2172_139,PCMH-Adult,,Access To Care (PCMH),,,
429,2172_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
430,2172_139,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
431,2172_139,PCMH-Adult,,Access To Care (PCMH),,,
432,2172_139,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
433,2664_154,CG-CAHPS 12 Month,,How Well Providers Communicate With Patients,,,
434,2664_154,CG-CAHPS 12 Month,,"Helpful, Courteous, and Respectful Office Staff",,,
435,2664_154,CG-CAHPS 12 Month,,Follow-up on Test Results,,,
436,2664_154,CG-CAHPS 12 Month,,Patients' Rating of the Provider,,,
437,2664_154,CG-CAHPS 12 Month,,How Well Providers Communicate With Patients,,,
438,2664_154,CG-CAHPS 12 Month,,"Helpful, Courteous, and Respectful Office Staff",,,
439,2664_154,CG-CAHPS 12 Month,,Follow-up on Test Results,,,
440,2664_154,CG-CAHPS 12 Month,,Patients' Rating of the Provider,,,
441,2664_154,CG-CAHPS 12 Month,Appointment Scheduling,,,h1da,
442,2664_154,CG-CAHPS 12 Month,Appointment Scheduling,,,h1db,
443,2664_154,CG-CAHPS 12 Month,Appointment Scheduling,,,h1da,
444,2664_154,CG-CAHPS 12 Month,Appointment Scheduling,,,h1db,
445,2664_154,CG-CAHPS 12 Month,Timeliness of Care,,,h9da,
446,2664_154,CG-CAHPS 12 Month,Timeliness of Care,,,h9db,
447,2664_154,CG-CAHPS 12 Month,Timeliness of Care,,,h9da,
448,2664_154,CG-CAHPS 12 Month,Timeliness of Care,,,h9db,
449,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h1da,,
450,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h1db,,
451,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h9da,,
452,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h9db,,
453,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h1da,,
454,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h1db,,
455,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h9da,,
456,2664_154,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h9db,,
457,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3j,
458,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3o,
459,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3ff,
460,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3d,
461,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3cs,
462,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3aa,
463,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h4fc,
464,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3j,
465,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3o,
466,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3ff,
467,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3d,
468,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3cs,
469,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h3aa,
470,2664_154,CG-CAHPS 12 Month,Provider Care/Communication,,,h4fc,
471,2664_154,CG-CAHPS 12 Month,Overall Rating of Provider,,,h30,
472,2664_154,CG-CAHPS 12 Month,Overall Rating of Provider,,,h30,
473,2664_154,CG-CAHPS 12 Month,Office Staff,,,h9h,
474,2664_154,CG-CAHPS 12 Month,Office Staff,,,h9c,
475,2664_154,CG-CAHPS 12 Month,Office Staff,,,h9h,
476,2664_154,CG-CAHPS 12 Month,Office Staff,,,h9c,
477,2664_154,CG-CAHPS 12 Month,Additional Items,,,h14,
478,2664_154,CG-CAHPS 12 Month,Additional Items,,,h4d,
479,2664_154,CG-CAHPS 12 Month,Additional Items,,,h2f,
480,2664_154,CG-CAHPS 12 Month,Additional Items,,,h6dw,
481,2664_154,CG-CAHPS 12 Month,Additional Items,,,h17,
482,2664_154,CG-CAHPS 12 Month,Additional Items,,,h3at,
483,2664_154,CG-CAHPS 12 Month,Additional Items,,,h14,
484,2664_154,CG-CAHPS 12 Month,Additional Items,,,h4d,
485,2664_154,CG-CAHPS 12 Month,Additional Items,,,h2f,
486,2664_154,CG-CAHPS 12 Month,Additional Items,,,h6dw,
487,2664_154,CG-CAHPS 12 Month,Additional Items,,,h17,
488,2664_154,CG-CAHPS 12 Month,Additional Items,,,h3at,
489,2664_154,CG-CAHPS 12 Month,Additional Item,,,h2bb,
490,2664_154,CG-CAHPS 12 Month,Additional Item,,,h2bb,
491,2172_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
492,2172_154,PCMH-Adult,,Access To Care (PCMH),,,
493,2172_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
494,2172_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
495,2172_154,PCMH-Adult,,Access To Care (PCMH),,,
496,2172_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
497,2172_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
498,2172_154,PCMH-Adult,,Access To Care (PCMH),,,
499,2172_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
500,2172_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
501,2172_154,PCMH-Adult,,Access To Care (PCMH),,,
502,2172_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
503,2172_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
504,2172_154,PCMH-Adult,,Access To Care (PCMH),,,
505,2172_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
506,2582_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fg,
507,2582_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fh,
508,2582_154,CG-CAHPS 12 Month,Providers Pay Attention to Your Mental or Emotional Health (PCMH),,,y19d,
509,2582_154,CG-CAHPS 12 Month,Providers Pay Attention to Your Mental or Emotional Health (PCMH),,,y19w,
510,2582_154,CG-CAHPS 12 Month,Providers Pay Attention to Your Mental or Emotional Health (PCMH),,,y19p,
511,2232_154,CG-CAHPS 12 Month,Attention to Care from Other Providers (PCMH),,,h3db,
512,2232_154,CG-CAHPS 12 Month,Attention to Care from Other Providers (PCMH),,,h3db,
513,2232_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fg,
514,2232_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fh,
515,2232_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fg,
516,2232_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fh,
517,2179_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
518,2179_154,PCMH-Adult,,Access To Care (PCMH),,,
519,2179_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
520,2179_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
521,2179_154,PCMH-Adult,,Access To Care (PCMH),,,
522,2179_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
523,2179_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
524,2179_154,PCMH-Adult,,Access To Care (PCMH),,,
525,2179_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
526,2179_154,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
527,2179_154,PCMH-Adult,,Access To Care (PCMH),,,
528,2179_154,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
529,2259_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fg,
530,2259_154,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fh,
531,2259_154,CG-CAHPS 12 Month,Providers Pay Attention to Your Mental or Emotional Health (PCMH),,,y19d,
532,2259_154,CG-CAHPS 12 Month,Providers Pay Attention to Your Mental or Emotional Health (PCMH),,,y19w,
533,2259_154,CG-CAHPS 12 Month,Providers Pay Attention to Your Mental or Emotional Health (PCMH),,,y19p,
534,2625_154,CG-CAHPS 12 Month,,Follow-up on Test Results,,,
535,2277_154,CG-CAHPS 12 Month,Patients' Rating of the Provider,,,,H30
536,2277_154,CG-CAHPS 12 Month,Overall Rating of Provider,,,,H30
537,2277_154,CG-CAHPS 12 Month,Overall Rating of Provider,,,h30,
538,2277_154,CG-CAHPS 12 Month,Overall Clinic Rating,,,h30c,
539,2172_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
540,2172_158,PCMH-Adult,,Access To Care (PCMH),,,
541,2172_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
542,2172_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
543,2172_158,PCMH-Adult,,Access To Care (PCMH),,,
544,2172_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
545,2172_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
546,2172_158,PCMH-Adult,,Access To Care (PCMH),,,
547,2172_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
548,2172_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
549,2172_158,PCMH-Adult,,Access To Care (PCMH),,,
550,2172_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
551,2172_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
552,2172_158,PCMH-Adult,,Access To Care (PCMH),,,
553,2172_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
554,2685_158,Totally Custom,REGISTRATION/ACCESS ( C),,,h1db,
555,2685_158,Totally Custom,REGISTRATION/ACCESS ( C),,,h1ds,
556,2685_158,Totally Custom,REGISTRATION/ACCESS ( C),,,h9da,
557,2685_158,Totally Custom,DOCTORS ( C),,,h3j,
558,2685_158,Totally Custom,DOCTORS ( C),,,h3aa,
559,2685_158,Totally Custom,DOCTORS ( C),,,h3c,
560,2685_158,Totally Custom,NURSES/STAFF ( C),,,h2c,
561,2685_158,Totally Custom,NURSES/STAFF ( C),,,h9c,
562,2685_158,Totally Custom,NURSES/STAFF ( C),,,h6dw,
563,2685_158,Totally Custom,NURSES/STAFF ( C),,,h4d,
564,2685_158,Totally Custom,WAITING ( C),,,h5c,
565,2685_158,Totally Custom,WAITING ( C),,,h5de,
566,2685_158,Totally Custom,WAITING ( C),,,h5df,
567,2685_158,Totally Custom,BILLING/INSURANCE ( C),,,h10c,
568,2685_158,Totally Custom,DISCHARGE ( C),,,h3ff,
569,2685_158,Totally Custom,OVERALL RATING ( C),,,h9dc,
570,2685_158,Totally Custom,OVERALL RATING ( C),,,h17,
571,2685_158,Totally Custom,Overall Rating of Provider,,,h30,
572,2685_158,Totally Custom,PCMH – COORDINATION OF CARE ( C),,,h4fc,
573,2685_158,Totally Custom,PCMH – COORDINATION OF CARE ( C),,,h3db,
574,2685_158,Totally Custom,PCMH – COORDINATION OF CARE ( C),,,y4am1,
575,2685_158,Totally Custom,PCMH – Support Items ( C),,,y3fg,
576,2685_158,Totally Custom,PCMH – Support Items ( C),,,y3fh,
577,2685_158,Totally Custom,PCMH – COMPREHENSIVENESS ( C),,,y19d,
578,2685_158,Totally Custom,PCMH – COMPREHENSIVENESS ( C),,,y19w,
579,2685_158,Totally Custom,PCMH – COMPREHENSIVENESS ( C),,,y19p,
580,2572_158,CG-CAHPS 12 Month,,Patients' Rating of the Provider,,,
581,2572_158,CG-CAHPS 12 Month,REGISTRATION/ACCESS ( C),,,h1ds,
582,2572_158,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h1da,,
583,2572_158,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h5dd,,
584,2572_158,CG-CAHPS 12 Month,"Getting Timely Appointments, Care, and Information",,h9db,,
585,2572_158,CG-CAHPS 12 Month,DOCTORS ( C),,,h3c,
586,2572_158,CG-CAHPS 12 Month,NURSES/STAFF ( C),,,h2c,
587,2572_158,CG-CAHPS 12 Month,NURSES/STAFF ( C),,,h6dw,
588,2572_158,CG-CAHPS 12 Month,NURSES/STAFF ( C),,,h4d,
589,2572_158,CG-CAHPS 12 Month,How Well Providers Communicate With Patients,,h3cs,,
590,2572_158,CG-CAHPS 12 Month,How Well Providers Communicate With Patients,,h3d,,
591,2572_158,CG-CAHPS 12 Month,How Well Providers Communicate With Patients,,h3o,,
592,2572_158,CG-CAHPS 12 Month,WAITING ( C),,,h5c,
593,2572_158,CG-CAHPS 12 Month,WAITING ( C),,,h5de,
594,2572_158,CG-CAHPS 12 Month,WAITING ( C),,,h5df,
595,2572_158,CG-CAHPS 12 Month,"Helpful, Courteous, And Respectful Office Staff",,h9h,,
596,2572_158,CG-CAHPS 12 Month,BILLING/INSURANCE ( C),,,h10c,
597,2572_158,CG-CAHPS 12 Month,OVERALL RATING ( C),,,h9dc,
598,2572_158,CG-CAHPS 12 Month,OVERALL RATING ( C),,,h17,
599,2572_158,CG-CAHPS 12 Month,OVERALL RATING ( C),,,h14,
600,2572_158,CG-CAHPS 12 Month,PCMH – COORDINATION OF CARE ( C),,,h3db,
601,2572_158,CG-CAHPS 12 Month,PCMH – COORDINATION OF CARE ( C),,,y4am1,
602,2572_158,CG-CAHPS 12 Month,PCMH – Support Items ( C),,,y3fg,
603,2572_158,CG-CAHPS 12 Month,PCMH – Support Items ( C),,,y3fh,
604,2572_158,CG-CAHPS 12 Month,PCMH – COMPREHENSIVENESS ( C),,,y19d,
605,2572_158,CG-CAHPS 12 Month,PCMH – COMPREHENSIVENESS ( C),,,y19w,
606,2572_158,CG-CAHPS 12 Month,PCMH – COMPREHENSIVENESS ( C),,,y19p,
607,2179_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
608,2179_158,PCMH-Adult,,Access To Care (PCMH),,,
609,2179_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
610,2179_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
611,2179_158,PCMH-Adult,,Access To Care (PCMH),,,
612,2179_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
613,2179_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
614,2179_158,PCMH-Adult,,Access To Care (PCMH),,,
615,2179_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
616,2179_158,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
617,2179_158,PCMH-Adult,,Access To Care (PCMH),,,
618,2179_158,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
619,2232_158,CG-CAHPS 12 Month,Attention to Care from Other Providers (PCMH),,,h3db,
620,2232_158,CG-CAHPS 12 Month,Attention to Care from Other Providers (PCMH),,,h3db,
621,2232_158,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fh,
622,2232_158,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fg,
623,2232_158,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fh,
624,2232_158,CG-CAHPS 12 Month,Providers Support You in Taking Care of Your Own Health (PCMH),,,y3fg,
625,2455_189,CG-CAHPS 12 Month Child,,Provider’s Attention to Your Child’s Growth and Development,,,
626,2455_189,CG-CAHPS 12 Month Child,,Provider’s Advice on Keeping Your Child Safe and Healthy,,,
627,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3db,
628,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dc,
629,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dd,
630,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3de,
631,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3df,
632,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3df1,
633,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3n,
634,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,h3jc,
635,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,h3oc,
636,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3nf,
637,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dg,
638,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dh,
639,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dj,
640,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dk,
641,2455_189,CG-CAHPS 12 Month Child,Your Child's Care From This Provider in the Last 12 Months,,,y3dl,
642,2310_189,CG-CAHPS 12 Month Child,Communication - Child Only,,,y3n,
643,2310_189,CG-CAHPS 12 Month Child,Communication - Child Only,,,h3jc,
644,2310_189,CG-CAHPS 12 Month Child,Communication - Child Only,,,h3oc,
645,2310_189,CG-CAHPS 12 Month Child,Communication - Child Only,,,y3nf,
646,2284_160,CG-CAHPS 12 Month Child,Communication - Child Only,,,y3n,
647,2284_160,CG-CAHPS 12 Month Child,Communication - Child Only,,,h3jc,
648,2284_160,CG-CAHPS 12 Month Child,Communication - Child Only,,,h3oc,
649,2284_160,CG-CAHPS 12 Month Child,Communication - Child Only,,,y3nf,
650,2498_155,CG-CAHPS Visit,,Patients' Rating of the Provider,,,
651,2498_155,CG-CAHPS Visit,,Willingness to Recommend,,,
652,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information (C)",,,,Y5DD
653,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,,,Y5DD
654,2498_155,CG-CAHPS Visit,Willingness to Recommend (C),,,h17et,
655,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information (C)",,,y5dd,
656,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,h1da,,
657,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,h1db,,
658,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,h5dd,,
659,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,h9da,,
660,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,h9db,,
661,2498_155,CG-CAHPS Visit,"Getting Timely Appointments, Care, and Information",,,y5dd,
662,2249_163,CG-CAHPS 12 Month Child,Patients' Rating of the Provider,,,,H30
663,2249_163,CG-CAHPS 12 Month Child,Rating of Provider,,,,H30
664,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,h3aa,,
665,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,h3cs,,
666,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,h3d,,
667,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,h3ff,,
668,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,h3j,,
669,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,h3o,,
670,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,,h3ja,
671,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,,h3oa,
672,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,,h3ffa,
673,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,,h3da,
674,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,,h3csa,
675,2249_163,CG-CAHPS 12 Month Child,How Well Providers Communicate With Patients,,,h3aaa,
676,2249_163,CG-CAHPS 12 Month Child,Follow-Up On Test Results,,h4fc,,
677,2249_163,CG-CAHPS 12 Month Child,Follow-Up On Test Results,,,y4fc,
678,2249_163,CG-CAHPS 12 Month Child,Rating of Provider,,,h30,
679,2249_163,CG-CAHPS 12 Month Child,"Helpful, Courteous, And Respectful Office Staff",,h9c,,
680,2249_163,CG-CAHPS 12 Month Child,"Helpful, Courteous, And Respectful Office Staff",,h9h,,
681,2249_163,CG-CAHPS 12 Month Child,"Helpful, Courteous, And Respectful Office Staff",,,h9ha,
682,2249_163,CG-CAHPS 12 Month Child,"Helpful, Courteous, And Respectful Office Staff",,,h9ca,
683,2221_18,ED,Registration,,,h1ba,
684,2221_18,ED,Registration,,,h1ef,
685,2221_18,ED,Registration,,,h6at,
686,2221_18,ED,Registration,,,h1ba,
687,2221_18,ED,Registration,,,h1ef,
688,2221_18,ED,Registration,,,h6at,
689,2221_18,ED,Patient Care Staff,,,h2j,
690,2221_18,ED,Patient Care Staff,,,h2j,
691,2221_18,ED,Quality And Patient Safety,,,h6da,
692,2221_18,ED,Quality And Patient Safety,,,h6dw,
693,2221_18,ED,Quality And Patient Safety,,,h6da,
694,2221_18,ED,Quality And Patient Safety,,,h6dw,
695,2559_18,ED-Transition,Survey Items,,,he1c,
696,2559_18,ED-Transition,Survey Items,,,ye5d2,
697,2559_18,ED-Transition,Survey Items,,,heam1,
698,2559_18,ED-Transition,Survey Items,,,he4af,
699,2559_18,ED-Transition,Survey Items,,,h3o,
700,2559_18,ED-Transition,Survey Items,,,h3j,
701,2559_18,ED-Transition,Survey Items,,,he11t,
702,2559_18,ED-Transition,Survey Items,,,he3z,
703,2559_18,ED-Transition,Survey Items,,,he2at,
704,2559_18,ED-Transition,Survey Items,,,he3at,
705,2559_18,ED-Transition,Survey Items,,,h30,
706,2559_18,ED-Transition,Survey Items,,,h2o,
707,2559_18,ED-Transition,Survey Items,,,h2j,
708,2559_18,ED-Transition,Survey Items,,,h3c,
709,2559_18,ED-Transition,Survey Items,,,h2c,
710,2559_18,ED-Transition,Survey Items,,,h17,
711,2229_18,ED,NPS,,,h17et,
712,2563_18,ED-Transition,Survey Items,,,he1c,
713,2563_18,ED-Transition,Survey Items,,,ye5d2,
714,2563_18,ED-Transition,Survey Items,,,heam1,
715,2563_18,ED-Transition,Survey Items,,,he4af,
716,2563_18,ED-Transition,Survey Items,,,h17,
717,2563_18,ED-Transition,Survey Items,,,he11t,
718,2563_18,ED-Transition,Survey Items,,,he3z,
719,2563_18,ED-Transition,Survey Items,,,he2at,
720,2563_18,ED-Transition,Survey Items,,,he3at,
721,2563_18,ED-Transition,Survey Items,,,h30,
722,2563_18,ED-Transition,Survey Items,,,h2o,
723,2563_18,ED-Transition,Survey Items,,,h2j,
724,2563_18,ED-Transition,Survey Items,,,h3c,
725,2563_18,ED-Transition,Survey Items,,,h2c,
726,2563_18,ED-Transition,Survey Items,,,h3o,
727,2563_18,ED-Transition,Survey Items,,,h3j,
728,2521_18,ED,Patient Care Staff,,h4k,,
729,2521_18,ED,Patient Care Staff,,,h4nn,
730,2521_18,ED,SCHEDULING/REGISTRATION,,,h1h,
731,2521_18,ED,SCHEDULING/REGISTRATION,,,h1o,
732,2521_18,ED,SCHEDULING/REGISTRATION,,,h10j,
733,2521_18,ED,CARE FROM STAFF,,,h2a,
734,2521_18,ED,CARE FROM STAFF,,,h4b,
735,2521_18,ED,CARE FROM STAFF,,,h4aa,
736,2521_18,ED,FACILITY,,,h6g,
737,2521_18,ED,FACILITY,,,h6aa,
